COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
California,2015,Total population,All ages,All ages,"191,904",50.4,
Alameda,2015,Total population,All ages,All ages,"9,939",64.3,
Alpine,2015,Total population,All ages,All ages,0,0,
Amador,2015,Total population,All ages,All ages,196,58.4,
Butte,2015,Total population,All ages,All ages,"1,044",50.2,
Calaveras,2015,Total population,All ages,All ages,185,48,
Colusa,2015,Total population,All ages,All ages,97,41.4,
Contra Costa,2015,Total population,All ages,All ages,"6,858",65.2,
Del Norte,2015,Total population,All ages,All ages,140,53,
El Dorado,2015,Total population,All ages,All ages,592,36.4,
Fresno,2015,Total population,All ages,All ages,"7,936",77,
Glenn,2015,Total population,All ages,All ages,122,42.6,
Humboldt,2015,Total population,All ages,All ages,835,63.4,
Imperial,2015,Total population,All ages,All ages,"1,388",71.2,
Inyo,2015,Total population,All ages,All ages,88,53.5,
Kern,2015,Total population,All ages,All ages,"5,859",62.3,
Kings,2015,Total population,All ages,All ages,"1,250",78.6,
Lake,2015,Total population,All ages,All ages,478,80.4,
Lassen,2015,Total population,All ages,All ages,148,45.3,
Los Angeles,2015,Total population,All ages,All ages,"52,227",53.1,
Madera,2015,Total population,All ages,All ages,"1,031",62.3,
Marin,2015,Total population,All ages,All ages,541,22.2,
Mariposa,2015,Total population,All ages,All ages,79,47.4,
Mendocino,2015,Total population,All ages,All ages,479,57.4,
Merced,2015,Total population,All ages,All ages,"2,425",87.4,
Modoc,2015,Total population,All ages,All ages,53,67.9,
Mono,2015,Total population,All ages,All ages,43,32,
Monterey,2015,Total population,All ages,All ages,"2,194",50.2,
Napa,2015,Total population,All ages,All ages,572,41.9,
Nevada,2015,Total population,All ages,All ages,351,42.8,
Orange,2015,Total population,All ages,All ages,"10,275",33.9,
Placer,2015,Total population,All ages,All ages,"1,125",31.4,
Plumas,2015,Total population,All ages,All ages,99,56.3,
Riverside,2015,Total population,All ages,All ages,"10,111",43.2,
Sacramento,2015,Total population,All ages,All ages,"10,109",69.2,
San Benito,2015,Total population,All ages,All ages,285,50.1,
San Bernardino,2015,Total population,All ages,All ages,"12,761",59.3,
San Diego,2015,Total population,All ages,All ages,"11,646",37,
San Francisco,2015,Total population,All ages,All ages,"3,141",41.3,
San Joaquin,2015,Total population,All ages,All ages,"4,802",66.2,
San Luis Obispo,2015,Total population,All ages,All ages,950,40.1,
San Mateo,2015,Total population,All ages,All ages,"2,695",36.4,
Santa Barbara,2015,Total population,All ages,All ages,"1,734",40.7,
Santa Clara,2015,Total population,All ages,All ages,"6,521",35.1,
Santa Cruz,2015,Total population,All ages,All ages,910,36.5,
Shasta,2015,Total population,All ages,All ages,"1,015",60.5,
Sierra,2015,Total population,All ages,All ages,9,,Rate not available due to statistical instability
Siskiyou,2015,Total population,All ages,All ages,176,47,
Solano,2015,Total population,All ages,All ages,"3,415",83.2,
Sonoma,2015,Total population,All ages,All ages,"1,936",40.2,
Stanislaus,2015,Total population,All ages,All ages,"3,281",60.7,
Sutter,2015,Total population,All ages,All ages,337,34.1,
Tehama,2015,Total population,All ages,All ages,323,52.7,
Trinity,2015,Total population,All ages,All ages,67,60.5,
Tulare,2015,Total population,All ages,All ages,"2,542",51.3,
Tuolumne,2015,Total population,All ages,All ages,257,53.1,
Ventura,2015,Total population,All ages,All ages,"2,933",35.3,
Yolo,2015,Total population,All ages,All ages,852,44.1,
Yuba,2015,Total population,All ages,All ages,346,45.4,
California,2015,Child vs. adult,0–17 years,0–17 years,"74,050",80.6,
Alameda,2015,Child vs. adult,0–17 years,0–17 years,"3,426",96.7,
Alpine,2015,Child vs. adult,0–17 years,0–17 years,0,0,
Amador,2015,Child vs. adult,0–17 years,0–17 years,45,85.1,
Butte,2015,Child vs. adult,0–17 years,0–17 years,308,68.7,
Calaveras,2015,Child vs. adult,0–17 years,0–17 years,46,63,
Colusa,2015,Child vs. adult,0–17 years,0–17 years,48,77,
Contra Costa,2015,Child vs. adult,0–17 years,0–17 years,"2,330",95.2,
Del Norte,2015,Child vs. adult,0–17 years,0–17 years,49,85.2,
El Dorado,2015,Child vs. adult,0–17 years,0–17 years,170,46.8,
Fresno,2015,Child vs. adult,0–17 years,0–17 years,"4,482",156,
Glenn,2015,Child vs. adult,0–17 years,0–17 years,39,51.8,
Humboldt,2015,Child vs. adult,0–17 years,0–17 years,153,59.3,
Imperial,2015,Child vs. adult,0–17 years,0–17 years,737,140.1,
Inyo,2015,Child vs. adult,0–17 years,0–17 years,33,92,
Kern,2015,Child vs. adult,0–17 years,0–17 years,"2,566",96.8,
Kings,2015,Child vs. adult,0–17 years,0–17 years,615,143.4,
Lake,2015,Child vs. adult,0–17 years,0–17 years,115,90.6,
Lassen,2015,Child vs. adult,0–17 years,0–17 years,33,59.7,
Los Angeles,2015,Child vs. adult,0–17 years,0–17 years,"20,540",88.7,
Madera,2015,Child vs. adult,0–17 years,0–17 years,586,133,
Marin,2015,Child vs. adult,0–17 years,0–17 years,167,33.5,
Mariposa,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Child vs. adult,0–17 years,0–17 years,130,69,
Merced,2015,Child vs. adult,0–17 years,0–17 years,"1,110",139.8,
Modoc,2015,Child vs. adult,0–17 years,0–17 years,19,100.1,
Mono,2015,Child vs. adult,0–17 years,0–17 years,16,52.7,
Monterey,2015,Child vs. adult,0–17 years,0–17 years,970,84.2,
Napa,2015,Child vs. adult,0–17 years,0–17 years,190,62.5,
Nevada,2015,Child vs. adult,0–17 years,0–17 years,79,47.9,
Orange,2015,Child vs. adult,0–17 years,0–17 years,"4,279",59.7,
Placer,2015,Child vs. adult,0–17 years,0–17 years,337,41.5,
Plumas,2015,Child vs. adult,0–17 years,0–17 years,21,65.2,
Riverside,2015,Child vs. adult,0–17 years,0–17 years,"3,917",64.9,
Sacramento,2015,Child vs. adult,0–17 years,0–17 years,"3,285",90.8,
San Benito,2015,Child vs. adult,0–17 years,0–17 years,115,76.6,
San Bernardino,2015,Child vs. adult,0–17 years,0–17 years,"5,019",87.7,
San Diego,2015,Child vs. adult,0–17 years,0–17 years,"4,616",62.1,
San Francisco,2015,Child vs. adult,0–17 years,0–17 years,850,64.9,
San Joaquin,2015,Child vs. adult,0–17 years,0–17 years,"1,868",95.1,
San Luis Obispo,2015,Child vs. adult,0–17 years,0–17 years,321,65,
San Mateo,2015,Child vs. adult,0–17 years,0–17 years,826,49.5,
Santa Barbara,2015,Child vs. adult,0–17 years,0–17 years,689,70,
Santa Clara,2015,Child vs. adult,0–17 years,0–17 years,"1,976",44.1,
Santa Cruz,2015,Child vs. adult,0–17 years,0–17 years,343,60.8,
Shasta,2015,Child vs. adult,0–17 years,0–17 years,300,78.1,
Sierra,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015,Child vs. adult,0–17 years,0–17 years,43,50.4,
Solano,2015,Child vs. adult,0–17 years,0–17 years,"1,141",119.4,
Sonoma,2015,Child vs. adult,0–17 years,0–17 years,586,56.9,
Stanislaus,2015,Child vs. adult,0–17 years,0–17 years,"1,236",85.8,
Sutter,2015,Child vs. adult,0–17 years,0–17 years,121,47.5,
Tehama,2015,Child vs. adult,0–17 years,0–17 years,128,85.3,
Trinity,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Child vs. adult,0–17 years,0–17 years,"1,264",85.5,
Tuolumne,2015,Child vs. adult,0–17 years,0–17 years,54,60.9,
Ventura,2015,Child vs. adult,0–17 years,0–17 years,"1,271",62.7,
Yolo,2015,Child vs. adult,0–17 years,0–17 years,291,67.7,
Yuba,2015,Child vs. adult,0–17 years,0–17 years,131,62.5,
California,2015,Child vs. adult,18+ years,18+ years,"117,854",40,
Alameda,2015,Child vs. adult,18+ years,18+ years,"6,513",53.1,
Alpine,2015,Child vs. adult,18+ years,18+ years,0,0,
Amador,2015,Child vs. adult,18+ years,18+ years,151,49.1,
Butte,2015,Child vs. adult,18+ years,18+ years,736,43.8,
Calaveras,2015,Child vs. adult,18+ years,18+ years,139,42.7,
Colusa,2015,Child vs. adult,18+ years,18+ years,49,29,
Contra Costa,2015,Child vs. adult,18+ years,18+ years,"4,528",54.8,
Del Norte,2015,Child vs. adult,18+ years,18+ years,91,41.9,
El Dorado,2015,Child vs. adult,18+ years,18+ years,422,32.8,
Fresno,2015,Child vs. adult,18+ years,18+ years,"3,454",49.5,
Glenn,2015,Child vs. adult,18+ years,18+ years,83,39.4,
Humboldt,2015,Child vs. adult,18+ years,18+ years,682,64.8,
Imperial,2015,Child vs. adult,18+ years,18+ years,651,47.2,
Inyo,2015,Child vs. adult,18+ years,18+ years,55,40.1,
Kern,2015,Child vs. adult,18+ years,18+ years,"3,293",50.3,
Kings,2015,Child vs. adult,18+ years,18+ years,635,56.1,
Lake,2015,Child vs. adult,18+ years,18+ years,363,76.9,
Lassen,2015,Child vs. adult,18+ years,18+ years,115,40.2,
Los Angeles,2015,Child vs. adult,18+ years,18+ years,"31,687",40.8,
Madera,2015,Child vs. adult,18+ years,18+ years,445,37.7,
Marin,2015,Child vs. adult,18+ years,18+ years,374,18.3,
Mariposa,2015,Child vs. adult,18+ years,18+ years,69,51.8,
Mendocino,2015,Child vs. adult,18+ years,18+ years,349,53.4,
Merced,2015,Child vs. adult,18+ years,18+ years,"1,315",69.2,
Modoc,2015,Child vs. adult,18+ years,18+ years,34,56.7,
Mono,2015,Child vs. adult,18+ years,18+ years,27,24.8,
Monterey,2015,Child vs. adult,18+ years,18+ years,"1,224",38.3,
Napa,2015,Child vs. adult,18+ years,18+ years,382,34.7,
Nevada,2015,Child vs. adult,18+ years,18+ years,272,41,
Orange,2015,Child vs. adult,18+ years,18+ years,"5,996",24.9,
Placer,2015,Child vs. adult,18+ years,18+ years,788,27.9,
Plumas,2015,Child vs. adult,18+ years,18+ years,78,53.2,
Riverside,2015,Child vs. adult,18+ years,18+ years,"6,194",35.7,
Sacramento,2015,Child vs. adult,18+ years,18+ years,"6,824",61.7,
San Benito,2015,Child vs. adult,18+ years,18+ years,170,40.9,
San Bernardino,2015,Child vs. adult,18+ years,18+ years,"7,742",49.5,
San Diego,2015,Child vs. adult,18+ years,18+ years,"7,030",28.3,
San Francisco,2015,Child vs. adult,18+ years,18+ years,"2,291",33,
San Joaquin,2015,Child vs. adult,18+ years,18+ years,"2,934",56.2,
San Luis Obispo,2015,Child vs. adult,18+ years,18+ years,629,31.4,
San Mateo,2015,Child vs. adult,18+ years,18+ years,"1,869",31.9,
Santa Barbara,2015,Child vs. adult,18+ years,18+ years,"1,045",30.5,
Santa Clara,2015,Child vs. adult,18+ years,18+ years,"4,545",31.9,
Santa Cruz,2015,Child vs. adult,18+ years,18+ years,567,28.1,
Shasta,2015,Child vs. adult,18+ years,18+ years,715,54.4,
Sierra,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015,Child vs. adult,18+ years,18+ years,133,45.8,
Solano,2015,Child vs. adult,18+ years,18+ years,"2,274",70.7,
Sonoma,2015,Child vs. adult,18+ years,18+ years,"1,350",34.4,
Stanislaus,2015,Child vs. adult,18+ years,18+ years,"2,045",51.9,
Sutter,2015,Child vs. adult,18+ years,18+ years,216,29.4,
Tehama,2015,Child vs. adult,18+ years,18+ years,195,41.4,
Trinity,2015,Child vs. adult,18+ years,18+ years,60,70.2,
Tulare,2015,Child vs. adult,18+ years,18+ years,"1,278",39.4,
Tuolumne,2015,Child vs. adult,18+ years,18+ years,203,50.4,
Ventura,2015,Child vs. adult,18+ years,18+ years,"1,662",25.8,
Yolo,2015,Child vs. adult,18+ years,18+ years,561,36,
Yuba,2015,Child vs. adult,18+ years,18+ years,215,39.5,
California,2015,Age groups,0–4 years,0–4 years,"25,563",98.7,
Alameda,2015,Age groups,0–4 years,0–4 years,"1,354",134.6,
Alpine,2015,Age groups,0–4 years,0–4 years,0,0,
Amador,2015,Age groups,0–4 years,0–4 years,17,128.3,
Butte,2015,Age groups,0–4 years,0–4 years,99,87.8,
Calaveras,2015,Age groups,0–4 years,0–4 years,18,106.8,
Colusa,2015,Age groups,0–4 years,0–4 years,14,87.5,
Contra Costa,2015,Age groups,0–4 years,0–4 years,791,125.5,
Del Norte,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Age groups,0–4 years,0–4 years,48,55.9,
Fresno,2015,Age groups,0–4 years,0–4 years,"1,792",220.1,
Glenn,2015,Age groups,0–4 years,0–4 years,20,98.9,
Humboldt,2015,Age groups,0–4 years,0–4 years,43,65.2,
Imperial,2015,Age groups,0–4 years,0–4 years,161,100.9,
Inyo,2015,Age groups,0–4 years,0–4 years,13,138.9,
Kern,2015,Age groups,0–4 years,0–4 years,878,117.2,
Kings,2015,Age groups,0–4 years,0–4 years,212,171.7,
Lake,2015,Age groups,0–4 years,0–4 years,30,87.6,
Lassen,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015,Age groups,0–4 years,0–4 years,"6,693",98.7,
Madera,2015,Age groups,0–4 years,0–4 years,241,198.1,
Marin,2015,Age groups,0–4 years,0–4 years,61,48.5,
Mariposa,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Age groups,0–4 years,0–4 years,40,79.4,
Merced,2015,Age groups,0–4 years,0–4 years,373,176.2,
Modoc,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015,Age groups,0–4 years,0–4 years,336,99.5,
Napa,2015,Age groups,0–4 years,0–4 years,54,66.2,
Nevada,2015,Age groups,0–4 years,0–4 years,30,73.5,
Orange,2015,Age groups,0–4 years,0–4 years,"1,668",82.8,
Placer,2015,Age groups,0–4 years,0–4 years,91,45.2,
Plumas,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015,Age groups,0–4 years,0–4 years,"1,143",71.2,
Sacramento,2015,Age groups,0–4 years,0–4 years,"1,150",114.6,
San Benito,2015,Age groups,0–4 years,0–4 years,27,68.6,
San Bernardino,2015,Age groups,0–4 years,0–4 years,"1,523",96.3,
San Diego,2015,Age groups,0–4 years,0–4 years,"1,870",86.7,
San Francisco,2015,Age groups,0–4 years,0–4 years,396,88.7,
San Joaquin,2015,Age groups,0–4 years,0–4 years,616,116,
San Luis Obispo,2015,Age groups,0–4 years,0–4 years,87,66.8,
San Mateo,2015,Age groups,0–4 years,0–4 years,330,70.1,
Santa Barbara,2015,Age groups,0–4 years,0–4 years,217,77.4,
Santa Clara,2015,Age groups,0–4 years,0–4 years,689,55,
Santa Cruz,2015,Age groups,0–4 years,0–4 years,141,85.7,
Shasta,2015,Age groups,0–4 years,0–4 years,110,103.8,
Sierra,2015,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2015,Age groups,0–4 years,0–4 years,16,75,
Solano,2015,Age groups,0–4 years,0–4 years,365,143,
Sonoma,2015,Age groups,0–4 years,0–4 years,216,78.4,
Stanislaus,2015,Age groups,0–4 years,0–4 years,364,92.5,
Sutter,2015,Age groups,0–4 years,0–4 years,33,48,
Tehama,2015,Age groups,0–4 years,0–4 years,39,104.9,
Trinity,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Age groups,0–4 years,0–4 years,508,123.4,
Tuolumne,2015,Age groups,0–4 years,0–4 years,12,55.1,
Ventura,2015,Age groups,0–4 years,0–4 years,442,78.4,
Yolo,2015,Age groups,0–4 years,0–4 years,105,90.2,
Yuba,2015,Age groups,0–4 years,0–4 years,51,85.2,
California,2015,Age groups,5–17 years,5–17 years,"48,487",74,
Alameda,2015,Age groups,5–17 years,5–17 years,"2,072",82.8,
Alpine,2015,Age groups,5–17 years,5–17 years,0,0,
Amador,2015,Age groups,5–17 years,5–17 years,28,69.3,
Butte,2015,Age groups,5–17 years,5–17 years,209,61.8,
Calaveras,2015,Age groups,5–17 years,5–17 years,28,47,
Colusa,2015,Age groups,5–17 years,5–17 years,34,73.2,
Contra Costa,2015,Age groups,5–17 years,5–17 years,"1,539",84.1,
Del Norte,2015,Age groups,5–17 years,5–17 years,39,91.5,
El Dorado,2015,Age groups,5–17 years,5–17 years,122,43.5,
Fresno,2015,Age groups,5–17 years,5–17 years,"2,690",132.4,
Glenn,2015,Age groups,5–17 years,5–17 years,19,34.5,
Humboldt,2015,Age groups,5–17 years,5–17 years,110,57.2,
Imperial,2015,Age groups,5–17 years,5–17 years,576,154.5,
Inyo,2015,Age groups,5–17 years,5–17 years,20,74.8,
Kern,2015,Age groups,5–17 years,5–17 years,"1,688",89.3,
Kings,2015,Age groups,5–17 years,5–17 years,403,133,
Lake,2015,Age groups,5–17 years,5–17 years,85,91.6,
Lassen,2015,Age groups,5–17 years,5–17 years,26,62.8,
Los Angeles,2015,Age groups,5–17 years,5–17 years,"13,847",85,
Madera,2015,Age groups,5–17 years,5–17 years,345,109.1,
Marin,2015,Age groups,5–17 years,5–17 years,106,28.1,
Mariposa,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Age groups,5–17 years,5–17 years,90,65.1,
Merced,2015,Age groups,5–17 years,5–17 years,737,126.4,
Modoc,2015,Age groups,5–17 years,5–17 years,13,86.9,
Mono,2015,Age groups,5–17 years,5–17 years,14,63.8,
Monterey,2015,Age groups,5–17 years,5–17 years,634,78.5,
Napa,2015,Age groups,5–17 years,5–17 years,136,61.2,
Nevada,2015,Age groups,5–17 years,5–17 years,49,38.5,
Orange,2015,Age groups,5–17 years,5–17 years,"2,611",51.3,
Placer,2015,Age groups,5–17 years,5–17 years,246,40.1,
Plumas,2015,Age groups,5–17 years,5–17 years,15,62.2,
Riverside,2015,Age groups,5–17 years,5–17 years,"2,774",62.6,
Sacramento,2015,Age groups,5–17 years,5–17 years,"2,135",82,
San Benito,2015,Age groups,5–17 years,5–17 years,88,79.5,
San Bernardino,2015,Age groups,5–17 years,5–17 years,"3,496",84.5,
San Diego,2015,Age groups,5–17 years,5–17 years,"2,746",53.1,
San Francisco,2015,Age groups,5–17 years,5–17 years,454,56.2,
San Joaquin,2015,Age groups,5–17 years,5–17 years,"1,252",87.5,
San Luis Obispo,2015,Age groups,5–17 years,5–17 years,234,64.4,
San Mateo,2015,Age groups,5–17 years,5–17 years,496,41.9,
Santa Barbara,2015,Age groups,5–17 years,5–17 years,472,67.2,
Santa Clara,2015,Age groups,5–17 years,5–17 years,"1,287",40.2,
Santa Cruz,2015,Age groups,5–17 years,5–17 years,202,51.7,
Shasta,2015,Age groups,5–17 years,5–17 years,190,68.7,
Sierra,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015,Age groups,5–17 years,5–17 years,27,41.4,
Solano,2015,Age groups,5–17 years,5–17 years,776,110.8,
Sonoma,2015,Age groups,5–17 years,5–17 years,370,49,
Stanislaus,2015,Age groups,5–17 years,5–17 years,872,83.4,
Sutter,2015,Age groups,5–17 years,5–17 years,88,47.3,
Tehama,2015,Age groups,5–17 years,5–17 years,89,78.1,
Trinity,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Age groups,5–17 years,5–17 years,756,71.5,
Tuolumne,2015,Age groups,5–17 years,5–17 years,42,63.1,
Ventura,2015,Age groups,5–17 years,5–17 years,829,56.9,
Yolo,2015,Age groups,5–17 years,5–17 years,186,59.4,
Yuba,2015,Age groups,5–17 years,5–17 years,80,54.1,
California,2015,Age groups,18–64 years,18–64 years,"99,761",40.7,
Alameda,2015,Age groups,18–64 years,18–64 years,"5,431",52.8,
Alpine,2015,Age groups,18–64 years,18–64 years,0,0,
Amador,2015,Age groups,18–64 years,18–64 years,112,50.2,
Butte,2015,Age groups,18–64 years,18–64 years,631,47.3,
Calaveras,2015,Age groups,18–64 years,18–64 years,115,46.8,
Colusa,2015,Age groups,18–64 years,18–64 years,40,29.5,
Contra Costa,2015,Age groups,18–64 years,18–64 years,"3,795",56.4,
Del Norte,2015,Age groups,18–64 years,18–64 years,79,45.5,
El Dorado,2015,Age groups,18–64 years,18–64 years,360,35.7,
Fresno,2015,Age groups,18–64 years,18–64 years,"2,928",49.8,
Glenn,2015,Age groups,18–64 years,18–64 years,75,43.4,
Humboldt,2015,Age groups,18–64 years,18–64 years,590,69.6,
Imperial,2015,Age groups,18–64 years,18–64 years,534,46.3,
Inyo,2015,Age groups,18–64 years,18–64 years,48,45,
Kern,2015,Age groups,18–64 years,18–64 years,"2,946",53.1,
Kings,2015,Age groups,18–64 years,18–64 years,551,55.2,
Lake,2015,Age groups,18–64 years,18–64 years,317,85.5,
Lassen,2015,Age groups,18–64 years,18–64 years,97,40,
Los Angeles,2015,Age groups,18–64 years,18–64 years,"26,914",41.2,
Madera,2015,Age groups,18–64 years,18–64 years,361,36.9,
Marin,2015,Age groups,18–64 years,18–64 years,268,17.5,
Mariposa,2015,Age groups,18–64 years,18–64 years,51,54,
Mendocino,2015,Age groups,18–64 years,18–64 years,296,58.2,
Merced,2015,Age groups,18–64 years,18–64 years,"1,132",70.6,
Modoc,2015,Age groups,18–64 years,18–64 years,26,61,
Mono,2015,Age groups,18–64 years,18–64 years,25,27.7,
Monterey,2015,Age groups,18–64 years,18–64 years,"1,034",38.5,
Napa,2015,Age groups,18–64 years,18–64 years,297,34.5,
Nevada,2015,Age groups,18–64 years,18–64 years,230,45.5,
Orange,2015,Age groups,18–64 years,18–64 years,"4,788",23.9,
Placer,2015,Age groups,18–64 years,18–64 years,611,27.9,
Plumas,2015,Age groups,18–64 years,18–64 years,69,61,
Riverside,2015,Age groups,18–64 years,18–64 years,"5,451",38,
Sacramento,2015,Age groups,18–64 years,18–64 years,"6,011",65.5,
San Benito,2015,Age groups,18–64 years,18–64 years,146,42.1,
San Bernardino,2015,Age groups,18–64 years,18–64 years,"6,862",51.5,
San Diego,2015,Age groups,18–64 years,18–64 years,"5,933",28.6,
San Francisco,2015,Age groups,18–64 years,18–64 years,"1,855",32.5,
San Joaquin,2015,Age groups,18–64 years,18–64 years,"2,558",58.7,
San Luis Obispo,2015,Age groups,18–64 years,18–64 years,534,33.9,
San Mateo,2015,Age groups,18–64 years,18–64 years,"1,399",29.6,
Santa Barbara,2015,Age groups,18–64 years,18–64 years,878,31.1,
Santa Clara,2015,Age groups,18–64 years,18–64 years,"3,711",31,
Santa Cruz,2015,Age groups,18–64 years,18–64 years,474,28.2,
Shasta,2015,Age groups,18–64 years,18–64 years,616,59.8,
Sierra,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015,Age groups,18–64 years,18–64 years,110,50.8,
Solano,2015,Age groups,18–64 years,18–64 years,"1,919",72.7,
Sonoma,2015,Age groups,18–64 years,18–64 years,"1,029",33.5,
Stanislaus,2015,Age groups,18–64 years,18–64 years,"1,765",53.8,
Sutter,2015,Age groups,18–64 years,18–64 years,175,29.6,
Tehama,2015,Age groups,18–64 years,18–64 years,160,43.5,
Trinity,2015,Age groups,18–64 years,18–64 years,52,79.2,
Tulare,2015,Age groups,18–64 years,18–64 years,"1,115",40.7,
Tuolumne,2015,Age groups,18–64 years,18–64 years,163,53.9,
Ventura,2015,Age groups,18–64 years,18–64 years,"1,362",25.7,
Yolo,2015,Age groups,18–64 years,18–64 years,464,35,
Yuba,2015,Age groups,18–64 years,18–64 years,178,38.9,
California,2015,Age groups,65+ years,65+ years,"18,093",36.4,
Alameda,2015,Age groups,65+ years,65+ years,"1,082",54.8,
Alpine,2015,Age groups,65+ years,65+ years,0,0,
Amador,2015,Age groups,65+ years,65+ years,39,43.7,
Butte,2015,Age groups,65+ years,65+ years,105,26.7,
Calaveras,2015,Age groups,65+ years,65+ years,24,22.9,
Colusa,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Age groups,65+ years,65+ years,733,46.7,
Del Norte,2015,Age groups,65+ years,65+ years,12,24.1,
El Dorado,2015,Age groups,65+ years,65+ years,62,18.7,
Fresno,2015,Age groups,65+ years,65+ years,526,48.3,
Glenn,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Age groups,65+ years,65+ years,92,41.6,
Imperial,2015,Age groups,65+ years,65+ years,117,51.7,
Inyo,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2015,Age groups,65+ years,65+ years,347,36.7,
Kings,2015,Age groups,65+ years,65+ years,84,60.3,
Lake,2015,Age groups,65+ years,65+ years,46,34.8,
Lassen,2015,Age groups,65+ years,65+ years,18,41.3,
Los Angeles,2015,Age groups,65+ years,65+ years,"4,773",38.8,
Madera,2015,Age groups,65+ years,65+ years,84,41.8,
Marin,2015,Age groups,65+ years,65+ years,106,21.7,
Mariposa,2015,Age groups,65+ years,65+ years,18,41.1,
Mendocino,2015,Age groups,65+ years,65+ years,53,30.1,
Merced,2015,Age groups,65+ years,65+ years,183,62.5,
Modoc,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015,Age groups,65+ years,65+ years,190,37.5,
Napa,2015,Age groups,65+ years,65+ years,85,35.5,
Nevada,2015,Age groups,65+ years,65+ years,42,18.7,
Orange,2015,Age groups,65+ years,65+ years,"1,208",29.7,
Placer,2015,Age groups,65+ years,65+ years,177,28.1,
Plumas,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015,Age groups,65+ years,65+ years,743,24.5,
Sacramento,2015,Age groups,65+ years,65+ years,813,43.6,
San Benito,2015,Age groups,65+ years,65+ years,24,35.1,
San Bernardino,2015,Age groups,65+ years,65+ years,880,39.6,
San Diego,2015,Age groups,65+ years,65+ years,"1,097",26.8,
San Francisco,2015,Age groups,65+ years,65+ years,436,35.9,
San Joaquin,2015,Age groups,65+ years,65+ years,376,43.6,
San Luis Obispo,2015,Age groups,65+ years,65+ years,95,19.5,
San Mateo,2015,Age groups,65+ years,65+ years,470,43.1,
Santa Barbara,2015,Age groups,65+ years,65+ years,167,27.9,
Santa Clara,2015,Age groups,65+ years,65+ years,834,36.8,
Santa Cruz,2015,Age groups,65+ years,65+ years,93,27.6,
Shasta,2015,Age groups,65+ years,65+ years,99,28.1,
Sierra,2015,Age groups,65+ years,65+ years,0,0,
Siskiyou,2015,Age groups,65+ years,65+ years,23,21.7,
Solano,2015,Age groups,65+ years,65+ years,355,60.7,
Sonoma,2015,Age groups,65+ years,65+ years,321,38.9,
Stanislaus,2015,Age groups,65+ years,65+ years,280,42.8,
Sutter,2015,Age groups,65+ years,65+ years,41,28.3,
Tehama,2015,Age groups,65+ years,65+ years,35,30.8,
Trinity,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Age groups,65+ years,65+ years,163,32.9,
Tuolumne,2015,Age groups,65+ years,65+ years,40,33.1,
Ventura,2015,Age groups,65+ years,65+ years,300,26.2,
Yolo,2015,Age groups,65+ years,65+ years,97,40.7,
Yuba,2015,Age groups,65+ years,65+ years,37,42,
California,2015,Race/ethnicity,White,All ages,"54,967",40.1,
